name,Gender,Species,Loyalty
Fawcett,Female,Human,Fawcett family
Sinistra Lowe,Female,Human,Pure-blood supremacy
George Weasley,Male,Human,Circle of Khanna
Justin Finch-Fletchley,Male,Human,Finch-Fletchley family
Hedwig,Female,Snowy owl,Harry Potter
Mrs Norris,Female,Cat,Argus Filch
Harry Potter,Male,Human,Potter family
Patrick,Male,Augurey,Newton Scamander
Lee Jordan,Male,Human,Jordan family
Marcus Flint,Male,Human,Flint family
Dean Thomas,Male,Human,Thomas family
Dudley,Male,Human,British Ministry of Magic
Salazar Slytherin,Male,Human,Hogwarts School of Witchcraft and Wizardry
Mafalda,Female,Human,Prewett family
Colin Creevey,Male,Human,Creevey family
Astoria Malfoy,Female,Human,Greengrass family
Cornelius Fudge,Male,Human,Order of Merlin
Perkins,Male,Human,British Ministry of Magic
Rowena Ravenclaw,Female,Human,Hogwarts School of Witchcraft and Wizardry
Seamus Finnigan,Male,Human,Dumbledore's Army
Nicholas de Mimsy-Porpington,Male,Human,Henry VII
Louis Weasley,Male,Human,Weasley family
Hannah Abbott,Female,Human,Abbott family
Dobby,Male,House-elf,Malfoy family
Gladys Gudgeon,Female,Human,Gilderoy Lockhart
Montgomery,Male,Human,Montgomery family
Ronald Weasley,Male,Human,Weasley family
Hermione Granger,Female,Human,Granger family
Nick Alas,Male,Human,Hogwarts School of Witchcraft and Wizardry
Millicent Bulstrode,Female,Human,Bulstrode family
Helga Hufflepuff,Female,Human,Hogwarts School of Witchcraft and Wizardry
Nott,Male,Human,Nott family
Ernest Macmillan,Male,Human,Macmillan family
Dan,Male,Human,Hogwarts School of Witchcraft and Wizardry
Gryffindor Lad,Male,Human,Hogwarts School of Witchcraft and Wizardry
Ginevra Weasley,Female,Human,Weasley family
Mason,Male,Human,Mason family
Parvati Patil,Female,Human,Patil family
Veronica Smethley,Female,Human,Gilderoy Lockhart
Rubeus Hagrid,Male,Human,Hogwarts School of Witchcraft and Wizardry
Vernon Dursley,Male,Human,Dursley family
Oliver Wood,Male,Human,Hogwarts School of Witchcraft and Wizardry
Blythe Parkin,Female,Human,English National Quidditch team
Lucius Malfoy,Male,Human,Malfoy family
Mundungus Fletcher,Male,Human,Order of the Phoenix
Crabbe,Male,Human,Crabbe family
Gilderoy Lockhart,Male,Human,Lockhart family
Celestina Warbeck,Female,Human,Hogwarts School of Witchcraft and Wizardry
Severus Snape,Male,Human,Snape family
Violet,Female,Human,Hogwarts School of Witchcraft and Wizardry
Filius Flitwick,Male,Human,Hogwarts School of Witchcraft and Wizardry
Albus Dumbledore,Male,Human,Order of Merlin
Arthur,Male,Human,Court of King Arthur
Lavender Brown,Female,Human,Brown family
Minerva McGonagall,Female,Human,McGonagall family
Rolanda Hooch,Female,Human,Hogwarts School of Witchcraft and Wizardry
George III,Male,Human,Great Britain
Draco Malfoy,Male,Human,Malfoy family
Tom,Male,Human,Leaky Cauldron
Alicia Spinnet,Female,Human,Hogwarts School of Witchcraft and Wizardry
Fawkes,Male,Phoenix,Albus Dumbledore
Argus Filch,Male,Human,Hogwarts School of Witchcraft and Wizardry
Irma Pince,Female,Human,Hogwarts School of Witchcraft and Wizardry
Borgin,Male,Human,Borgin and Burkes
Angelina Johnson,Female,Human,Johnson family
Tom Riddle,Male,Human,Death Eaters
Dark Witch in Knockturn Alley,Female,Human,R
Katie Bell,Female,Human,Bell family
Fred Weasley,Male,Human,Circle of Khanna
Charles Weasley,Male,Human,Weasley family
Penelope Clearwater,Female,Human,Hogwarts School of Witchcraft and Wizardry
Adrian Pucey,Male,Human,Hogwarts School of Witchcraft and Wizardry
Neville Longbottom,Male,Human,Longbottom family
Mullet,Female,Human,Irish National Quidditch team
Chrisp,Male,Human,Hogwarts School of Witchcraft and Wizardry
William Weasley,Male,Human,Weasley family
Goyle,Male,Human,Goyle family
Armando Dippet,Male,Human,Hogwarts School of Witchcraft and Wizardry
Dudley Dursley,Male,Human,Dursley family
Fang,Male,Boarhound,Rubeus Hagrid
Percy Weasley,Male,Human,Weasley family
Errol,Male,Great grey owl,Weasley family
Aragog,Male,Acromantula,Rubeus Hagrid
