"effect","significance"
"intercept",5.35975212878837e-111
"nodecov-industry_of_gdp",0.000114520889325774
"nodecov-merchandise_of_gdp",0.0254091162806833
"nodecov-agriculture_forestry_fishing_of_gdp",0.00134977103854303
"nodecov-gdp_growth",0.440202647843686
"nodecov-gdp_us_dollar",0.577927304922105
"nodecov-foreign_direct_investment_inflows",2.78858630626832e-25
"nodecov-inflation_rate",0.107615369996561
"nodecov-net_barter_of_trade",3.88782238651537e-09
"absdiff-industry_of_gdp",3.48869612375102e-10
"absdiff-merchandise_of_gdp",0.993987284871081
"absdiff-agriculture_forestry_fishing_of_gdp",0.000189835015857709
"absdiff-gdp_growth",0.00573819607561948
"absdiff-gdp_us_dollar",2.05809646468758e-30
"absdiff-foreign_direct_investment_inflows",1.19442801661165e-20
"absdiff-inflation_rate",0.463460572936915
"absdiff-net_barter_of_trade",3.44061896775269e-06
"nodematch-continent",1.20006324061745e-21
"nodematch-landlocked",8.77139207740443e-11
"nodematch-langoff_1",0.000379460886385134
